"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PROCR",116.652548785456,0.981305925578734,0.21612383781924,4.54047982619794,5.61263493087033e-06,0.0026287665506708
"PCYT2",597.649980497128,-0.681383712834195,0.150528110300061,-4.52662105088499,5.99342739616498e-06,0.00269469445790801
"GPN3",379.385337174242,0.569901273562059,0.125939669577906,4.52519270117283,6.03404997604771e-06,0.00269469445790801
"SIGLEC10",98.7698686224941,2.55705577618316,0.566361062748996,4.51488625254667,6.33507594793053e-06,0.00276482871427523
"SDHD",1006.80430509332,0.656338041625208,0.145695741498799,4.50485398456631,6.64185959187324e-06,0.00281758888726971
"VWA1",160.9739779024,-1.57440206102532,0.349908250608346,-4.49947109931842,6.81227400829414e-06,0.00281758888726971
"TNFAIP3",2137.99715242385,1.45384290883756,0.323301148981283,4.49686898242891,6.8961452742632e-06,0.00281758888726971
"TNFRSF11B",194.606925388577,2.24033676041581,0.499882859187986,4.48172350629312,7.40426330304774e-06,0.00296216808767554
"PSMD4",1573.01923353065,0.51166634612025,0.114485532305888,4.46926642881961,7.84883154855045e-06,0.00305001843012035
"RBM45",165.732411516355,0.513877946550109,0.115045037825121,4.46675455338848,7.94151546664675e-06,0.00305001843012035
"ICAM3",101.412431668555,1.14194758460622,0.255937712981518,4.4618183514388,8.12671019526454e-06,0.0030599454094052
"AC008750.4",271.407788403903,0.997059674977547,0.224150411915609,4.44817239663577,8.66040100605097e-06,0.00316298731809067
"SLC2A6",165.545076387303,-1.31532577933886,0.295814324845319,-4.44645735133566,8.72979887823807e-06,0.00316298731809067
"FLVCR1-DT",30.7313731119962,-1.26035706441018,0.28478738340493,-4.4256070944622,9.61714297460946e-06,0.00341996289891529
"COA6",479.719624389624,0.682702340622295,0.155133717876832,4.40073473365942,1.07884948535386e-05,0.00374264229693607
"LRRC24",67.6101033789872,-1.04697824717237,0.238046012972377,-4.39821794996356,1.09143346679383e-05,0.00374264229693607
