"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZCCHC17",775.870285021055,1.15655582173691,0.204451463962043,5.65687229293512,1.54156378608199e-08,2.29929302224814e-06
"JUP",59.9508009717831,-2.02359549505437,0.357887259712768,-5.65428201238137,1.56499075275314e-08,2.31732036534475e-06
"APOBEC3G",373.331411260499,1.0322428516467,0.182622093834766,5.65234375519023,1.5827465163138e-08,2.32675124563714e-06
"SLC2A1",726.886902628485,2.79136274594822,0.494038825426895,5.6500878114918,1.60365896083587e-08,2.3375649005878e-06
"HMGA1",30.7562421345499,-2.3590849918612,0.417604329015943,-5.64909132388601,1.61298155516727e-08,2.3375649005878e-06
"BACE1",786.245167780008,0.81715739245595,0.145034791227719,5.63421635277105,1.75856138324514e-08,2.53059459895995e-06
"AGTRAP",221.400394636728,1.15645124561537,0.205395382425961,5.63036633032506,1.79827263099832e-08,2.56964356236502e-06
"DKC1",651.185944314141,1.44402308623986,0.256667705839649,5.62604119406435,1.84392329502498e-08,2.607374334855e-06
"AP000426.1",14.8493820714393,-3.73286158336441,0.663566170255785,-5.6254549292733,1.85019711536642e-08,2.607374334855e-06
"LCT",85.7760378941528,1.54542681563632,0.275018989152332,5.61934585098891,1.91681811430647e-08,2.68275762655743e-06
"TIPARP",675.358266143347,0.893961822829488,0.159134519050577,5.61764869220717,1.93573571632508e-08,2.69080432839366e-06
"AC010655.3",195.468578046091,2.05377933654569,0.365712882299389,5.61582442388336,1.9562722993621e-08,2.70097757872737e-06
"AC025259.3",881.063361670541,2.64187036829727,0.471058544766604,5.60836948538158,2.04241632332846e-08,2.8009889363016e-06
"SPRY4",72.4323242748711,2.18320477315068,0.389852510617592,5.60007878285077,2.14254409758893e-08,2.91871640600881e-06
"RBM22",1479.57109107398,0.776649121314158,0.138773060205302,5.59654100129505,2.18670625440301e-08,2.9591493776471e-06
"MPHOSPH6",647.451262028236,1.16181776796989,0.20771711471725,5.59326933436078,2.22833207276684e-08,2.9956406299288e-06
"AC023024.2",120.312536282045,1.57396295353219,0.282163610820683,5.57819255627706,2.43030547047368e-08,3.23854790766567e-06
"CD320",221.540877104288,1.19038751923677,0.213428683747331,5.5774486275051,2.4407183017545e-08,3.23854790766567e-06
"AQP11",345.301985425339,-0.905433002389288,0.162449105918271,-5.57364103219389,2.49469515596584e-08,3.28881295593587e-06
"GADD45G",129.15964278584,-1.14361820743344,0.205365868066813,-5.56868684265186,2.56666303476748e-08,3.36199951618197e-06
"AL451070.1",484.909327868066,1.20237613525404,0.216105932808034,5.56382751565688,2.63920820086839e-08,3.43500511952514e-06
"IWS1",638.715743758524,0.910289610179527,0.163796398534984,5.55744581884139,2.73750919217588e-08,3.5403963818305e-06
"MRPL40",472.686798777322,0.901292892465136,0.162635857637776,5.54178460738039,2.99404453395741e-08,3.84781798785445e-06
