"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","v","change"
"MEX3B",51.2674796551882,-1.16128764543679,0.395512946256913,-2.93615583617951,0.00332307336908067,0.0380626015828444,2.47846006996561,"DOWN"
"TP53I11",26.4769920411849,-1.16083108951387,0.395410135948069,-2.93576462507862,0.00332726682322435,0.0380892830620539,2.47791237039433,"DOWN"
"PCA3",15.6566056434305,-1.3931842369973,0.474612016311048,-2.93541711780902,0.00333099585039666,0.038110621056554,2.47742590833283,"DOWN"
"CBR3",14.4878755490858,-2.02448835847974,0.690117289379286,-2.9335424421849,0.00335117833027393,0.0382558536317416,2.47480246091638,"DOWN"
"AC113382.1",31.671481542232,-1.20373780591917,0.410446393450418,-2.93275279093074,0.00335971288148094,0.0383181739239175,2.47369783550196,"DOWN"
"ZNF469",31.9472189279196,-1.00400029001516,0.342459878814895,-2.93173113735124,0.00337078428206781,0.0384152850082396,2.47226903985675,"DOWN"
"GDNF",8.62162044349114,-2.51499394610334,0.85802158735721,-2.93115462729762,0.003377046427486,0.0384651988290128,2.47146296866208,"DOWN"
"IFI44L",61.9064614929732,-1.39985523898698,0.477939874394465,-2.9289358640782,0.00340124594858335,0.0386546494512526,2.46836196252463,"DOWN"
"AC002116.2",34.6796266133613,-1.16028293741121,0.396231823781901,-2.92829315509466,0.00340828525281789,0.0387131188749754,2.46746406456835,"DOWN"
"RP1L1",7.45509556990632,-2.40399992263219,0.821248680657955,-2.92724966170562,0.0034197424220984,0.0388001202960348,2.46600660414097,"DOWN"
"AC073130.2",41.3620613608302,-1.30545708889233,0.446099029967222,-2.92638405644652,0.00342927303857945,0.0388595054259675,2.46479793499948,"DOWN"
"AC025811.1",18.7860303123221,-1.19742488037277,0.410556490552221,-2.91658981876568,0.00353880816654455,0.0397644275370494,2.45114297917351,"DOWN"
"VIT",12.4825634780173,-1.67119420102593,0.573203287432263,-2.91553492045074,0.00355079368086758,0.0398445458950292,2.44967456167864,"DOWN"
"LRRC75B",13.1397701379324,-1.57944279379807,0.542215023415444,-2.91294546552597,0.00358037122615579,0.0400664324399055,2.4460719417604,"DOWN"
"OASL",18.5693199017403,-2.58715777255675,0.888246285777379,-2.91265813770615,0.00358366694827031,0.0400813631203917,2.44567235873353,"DOWN"
"AL442125.1",9.16538952634287,-1.81980558805917,0.625328217846771,-2.91016067422226,0.00361242992745122,0.0402974394369696,2.44220056843371,"DOWN"
"LINC00926",8.55569445296667,-1.86687223562379,0.641737924684961,-2.90908821781144,0.00362484559024553,0.0403651742730666,2.44071048860542,"DOWN"
"AC009480.1",9.68170129251588,-1.68732680262165,0.581624989260459,-2.90105623688401,0.00371907127336088,0.041257058848999,2.42956549861582,"DOWN"
"COL7A1",33.7497761742496,-1.56788369982525,0.540932981000871,-2.89848050478314,0.00374975619790576,0.0415523417288537,2.42599696836461,"DOWN"
"PDE4A",13.3812561631544,-1.49713529015821,0.516557518172443,-2.89829348618331,0.00375199310275493,0.0415545946133844,2.42573796865071,"DOWN"
