"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","v","change"
"HOMER3-AS1",6.73054418369215,2.51839720791574,1.05615206699769,2.38450246570531,0.0171022333995769,0.477584520878395,1.76694717090751,"UP"
"ARHGAP22",260.720848829586,1.4381256355345,0.603303842672642,2.38375016668813,0.0171372321894614,0.477584520878395,1.76605931904695,"UP"
"CCL20",2016.81379914205,2.30913432498055,0.969105200006768,2.38274887490483,0.0171839121952916,0.477584520878395,1.76487795509121,"UP"
"AC046185.3",83.9565180554472,1.37135180869138,0.576492431042146,2.37878545293706,0.0173697824031097,0.478453265954681,1.76020562206647,"UP"
"AC010247.1",17.9402035579441,1.66594651705829,0.70037738926806,2.37864120485002,0.0173765802419544,0.478453265954681,1.76003568980812,"UP"
"MAL2",13.4306294221567,3.19330941415538,1.34409200238382,2.3758116323078,0.0175103992780712,0.478453265954681,1.75670395087338,"UP"
"KCNH4",112.641744561834,2.157264044987,0.908850270281506,2.3736187527554,0.0176147277470228,0.48023989074277,1.75412406488009,"UP"
"GIMAP5",182.158417974516,1.61532696207215,0.681136210670019,2.37151826135214,0.0177151712526024,0.480866186435437,1.75165464498473,"UP"
"DOC2GP",12.5185927142738,1.88383106493254,0.794856250581548,2.3700273647647,0.0177867687531086,0.481406135104122,1.74990294118835,"UP"
"CXCR3",58.1617159600212,1.97251361102257,0.832727003945135,2.36873981710401,0.0178488047192208,0.482384024204079,1.74839086197351,"UP"
"ESPN",29.1337498564816,2.06892084507188,0.874745788436868,2.36516811217686,0.0180218881764339,0.485652069078691,1.74419970938098,"UP"
"NPDC1",166.762401819432,1.01261363806759,0.428763885408572,2.36170459436587,0.018191131134029,0.489504411628258,1.74014029543933,"UP"
"MMP9",10429.4193063707,1.93570708987903,0.820384063312384,2.35951327730992,0.018298926031675,0.490109988667285,1.73757439836816,"UP"
"LYZ",4692.00395205012,2.24650443324927,0.952139875704752,2.35942689784571,0.0183031866277169,0.490109988667285,1.73747329199891,"UP"
"ARHGEF16",146.935074285027,2.05704879087522,0.872969026236071,2.3563823332249,0.0184539130632767,0.491602739844458,1.73391152968928,"UP"
"NOG",114.655002123945,1.52022811177035,0.645337544431749,2.3557100077123,0.0184873437609996,0.491789754533678,1.73312548325996,"UP"
"TLL1",53.753631289245,2.54215129329911,1.08256558445752,2.34826538899534,0.0188610771862002,0.493567364484379,1.72443350763986,"UP"
"MUC5B",18.246542545898,1.84573971777577,0.786224082120296,2.34760007960856,0.0188947963671781,0.493567364484379,1.72365778419616,"UP"
"SERPINA1",1062.85118529502,1.55255599040904,0.661941771341539,2.34545704414833,0.0190037682514108,0.493567364484379,1.72116027438771,"UP"
"SPTBN5",139.650883198734,1.16767001208453,0.497938390528322,2.34500900974037,0.0190266198195519,0.493567364484379,1.72063835959039,"UP"
"SIT1",63.875841082433,1.64968206634101,0.7051761546899,2.33939003094404,0.0193152570003691,0.49609572497086,1.71409950894812,"UP"
"CCDC78",55.3968266955899,1.28507490095813,0.550744324470256,2.33334206792635,0.0196301991868997,0.497862881383441,1.70707529360771,"UP"
"ADGRE5",1189.66050891028,1.18414134674354,0.50756633727409,2.33297848928089,0.0196492743257959,0.497862881383441,1.70665348407339,"UP"
"TRIM36",35.1600409015964,1.1221392131953,0.48175471383612,2.32927500441028,0.0198445016683618,0.501830490148762,1.70235980254659,"UP"
"LYSMD2",328.692607646987,1.16980047546486,0.502444433132305,2.32821860155196,0.0199004989363134,0.501830490148762,1.70113603501887,"UP"
"EDAR",21.0797482525808,1.64339016734339,0.705944908878704,2.32792976714527,0.0199158333182931,0.501830490148762,1.70080151712486,"UP"
"F2RL1",453.346207713903,1.1569492308343,0.497119653770959,2.32730535205786,0.0199490191264255,0.501987412369149,1.70007845328317,"UP"
"AC009041.2",72.9234129088293,1.86349926312127,0.801127097949142,2.32609690508755,0.0200133816263147,0.502927367427269,1.69867952317957,"UP"
"GLA",1010.55119727023,1.182327640684,0.508573205807323,2.32479341652916,0.020083009210767,0.502997724761674,1.69717121255714,"UP"
"LINC02446",20.0845988818077,1.64303973443923,0.706827283879925,2.32452788950115,0.0200972185823901,0.502997724761674,1.69686404396784,"UP"
"PPBP",4263.75220976817,2.14123915537719,0.92182335178563,2.32283023773424,0.0201882739941724,0.504598456436892,1.69490080967693,"UP"
"TRIM52-AS1",82.7213329738026,1.0780460801654,0.464470126927596,2.32102350111625,0.0202855755106458,0.506350806412513,1.69281266666056,"UP"
"FOXP3",31.6907786145731,2.34767122068725,1.01514711535474,2.31264137500589,0.0207423647193939,0.513621773191268,1.68314173367304,"UP"
"MMP1",727.908665390937,1.03283039641125,0.447092577065073,2.31010410235668,0.0208823913840885,0.514353187781894,1.68021976881897,"UP"
"LTB4R",15.1020465899406,1.9186858315833,0.830979187856618,2.3089457108213,0.0209465940000567,0.515253007760973,1.67888658497629,"UP"
"CLCF1",346.121697604372,1.20581762262714,0.523898026699217,2.30162657840937,0.021356239950004,0.521882603817617,1.670475208231,"UP"
"AC109449.1",11.047215254089,1.66613149264803,0.724339870773719,2.30020679500676,0.0214365070492501,0.522472771942522,1.66884597890558,"UP"
"C15orf48",1123.88722336276,1.41816204897786,0.618390866636051,2.29331014652987,0.021830155489711,0.52929599658061,1.66094317092929,"UP"
"AC087645.2",11.6984104687978,2.00374420941997,0.876780537038378,2.28534293905324,0.0222927270109062,0.535629509251722,1.65183680216364,"UP"
"TOR4A",428.99286852284,1.15828101761368,0.507469072701785,2.28246622291078,0.0224618294581395,0.537653718319821,1.64855487446735,"UP"
"SELL",1493.46956968494,1.35052245007029,0.591829010388779,2.28194702585316,0.0224924679969465,0.537653718319821,1.64796288877739,"UP"
"LINC01215",102.986413783856,1.2081389440079,0.529669508246059,2.28092975940511,0.0225526036331847,0.538315620889502,1.64680331284358,"UP"
"CD14",7319.73785894888,1.53549231080128,0.673934146009286,2.27840111662798,0.0227026899384223,0.538610389461919,1.64392268218124,"UP"
"AC242842.1",77.2445612884229,1.22528899173475,0.537797862009793,2.27834485461834,0.022706039188422,0.538610389461919,1.64385861693106,"UP"
"CCNE2",32.9944051162806,1.01968674098646,0.447673610547191,2.27774592239221,0.0227417199538698,0.538770441807899,1.64317669276053,"UP"
"AC009549.1",23.3456247491089,1.27580816499398,0.56036209524498,2.27675671823631,0.0228007574498422,0.539482724871043,1.64205072533188,"UP"
"TUBA4A",1914.46733356078,1.28834314270006,0.567536812464511,2.27006092715902,0.0232038866099541,0.54349631769051,1.63443926545886,"UP"
"SMPD3",76.6328996699893,1.25346870548603,0.552310639730501,2.26949947243032,0.0232379692705987,0.543610836416858,1.63380182693177,"UP"
"HHLA2",6.85692949137668,3.2032383746261,1.41251155042365,2.2677608361258,0.0233437876405185,0.544717631145482,1.631828676229,"UP"
"GIMAP1",426.51364089491,1.62868158461698,0.7187424248217,2.26601565229854,0.0234504249228388,0.545087212325791,1.62984928344049,"UP"
"P2RX5",91.3772229420351,1.52036059243737,0.671913892784369,2.262731294537,0.0236522584620392,0.546437599034284,1.6261273838576,"UP"
"S100A8",2649.53239638093,1.57846512800506,0.699432654954082,2.25677928650426,0.0240218696643205,0.551555160319744,1.61939319371507,"UP"
"AC002480.2",10.1782183684528,2.04522161356183,0.909812129815701,2.24796037174853,0.0245787169452437,0.559610049892721,1.60944079183787,"UP"
"EFHD1",10.8799593489916,1.74201834537078,0.775218635798079,2.24713166702628,0.0246316136536972,0.559610049892721,1.60850713595056,"UP"
"ARHGEF4",30.4506346509732,1.0378780585569,0.461972365968695,2.24662368360627,0.0246640872668389,0.559610049892721,1.60793495165166,"UP"
"CHI3L2",80.5346140085144,1.65973081484154,0.738813619812728,2.24648107497293,0.0246732104055595,0.559610049892721,1.60777433771308,"UP"
"CTRC",19.0556253483677,1.62992592669223,0.72785114225595,2.23936713438456,0.0251320379770286,0.562886723922455,1.59977229269311,"UP"
"VASP",2972.03715486579,1.06344606089883,0.474974754116087,2.23895281103491,0.0251589867210208,0.562886723922455,1.59930685409843,"UP"
"MXD3",155.654911677204,1.04221411775697,0.465664432832876,2.23812265716032,0.0252130575180359,0.56294046048363,1.59837448543443,"UP"
"CU633906.1",9.31197100304247,3.68535476064759,1.64753684453983,2.23688761368912,0.0252936863042055,0.564064350503726,1.59698787192453,"UP"
"SPINT1",353.148919473951,1.19106825769747,0.53264171122603,2.23615280702646,0.0253417633494005,0.564460496805246,1.59616316899993,"UP"
"TMEM204",195.876706490754,1.18173704803207,0.52925727582755,2.23282154446399,0.0255607149455762,0.565574133436693,1.59242700291676,"UP"
"CXCL5",28662.5112694146,1.65811851010135,0.742615394837173,2.23280923292051,0.0255615271637271,0.565574133436693,1.59241320297973,"UP"
"INHBB",252.199347014153,1.58023828626641,0.708623721034996,2.2300104263492,0.0257467507024352,0.567047953655975,1.58927757210023,"UP"
"MYH14",14.7489715574691,3.15305073285048,1.41395844297632,2.22994582939329,0.0257510393640665,0.567047953655975,1.58920523726477,"UP"
"WDR97",68.993476112278,1.14245940390085,0.512978085724561,2.22711151936866,0.0259398215240603,0.568277072156132,1.58603301635458,"UP"
"SLCO5A1",25.5359433787844,1.60038684961954,0.718634533951544,2.22698294335998,0.0259484137617498,0.568277072156132,1.58588918562187,"UP"
"RND1",24.5125266274663,1.52744241932374,0.686037477208774,2.22647081255432,0.0259826619089984,0.568277072156132,1.58531635775996,"UP"
"CYP1A1",22.7015307990631,2.02331795951314,0.909433085277968,2.22481234987697,0.0260938379867673,0.568603471030459,1.58346203842038,"UP"
"SPNS2",32.4605207768107,1.3002074163112,0.584601879773293,2.22409037893517,0.0261423640814558,0.568603471030459,1.58265514127321,"UP"
"CORO1A",2756.88270438569,1.49384558250153,0.672260920761411,2.22212170359328,0.0262750819026108,0.568603471030459,1.58045592154914,"UP"
"LAD1",114.765245920295,2.00772794366786,0.903587232726867,2.22195253645726,0.0262865133873456,0.568603471030459,1.58026701439017,"UP"
"AC091182.1",19.1117356675584,1.77347168695995,0.799390593813806,2.21852959077102,0.0265187442899376,0.56869893174859,1.57644704440235,"UP"
"SOCS1",200.843529414456,1.4165642089507,0.638532242157538,2.21846935115487,0.0265228470868224,0.56869893174859,1.576379858558,"UP"
"CD44",5463.6341337756,1.21533696111576,0.547938962932654,2.21801522310276,0.0265537944707633,0.56869893174859,1.57587341055362,"UP"
"AL356234.3",7.89610946396831,2.31588350083395,1.04457360915818,2.21706108648516,0.0266189174798002,0.56869893174859,1.57480961009758,"UP"
"BICDL1",535.749369493383,1.45273658301086,0.655560360790859,2.21602261195033,0.0266899535699898,0.56869893174859,1.57365218171323,"UP"
"SERPINB2",7503.99164367567,1.52087113442581,0.686420916491015,2.21565383263742,0.02671521901249,0.56869893174859,1.57324126110204,"UP"
"AC127521.1",7.70014165737653,2.06471587762568,0.932599728402776,2.21393574836423,0.0268331991518847,0.56869893174859,1.57132754606888,"UP"
"AC006504.1",7.56984666027256,1.83709584225886,0.830412368067317,2.21226936507999,0.0269480585199788,0.56869893174859,1.56947251821129,"UP"
"AL034397.3",363.288524349055,1.51099356739644,0.683833329727158,2.20959333467894,0.0271333983154082,0.56869893174859,1.56649580973257,"UP"
"GPR132",245.150387190474,1.52461224662566,0.69016603595803,2.20905139805861,0.0271710660956487,0.56869893174859,1.56589332108251,"UP"
"TBC1D10C",716.997181585455,1.35776404127896,0.614782044516553,2.20852910944506,0.0272074109208511,0.56869893174859,1.56531278406686,"UP"
"AC116353.6",25.35760341839,1.67675409905756,0.759676900936011,2.20719373853753,0.0273005270362536,0.56869893174859,1.56382896883004,"UP"
"TESPA1",283.518423274455,1.34413969642349,0.609158214450708,2.20655268949386,0.0273453253270772,0.56869893174859,1.56311690546126,"UP"
"UBASH3A",130.30003068274,1.79817066000492,0.815390039672708,2.20528896910084,0.0274338234103839,0.56869893174859,1.56171366121367,"UP"
"AC136475.3",175.136877257292,1.82202843503795,0.826225506413535,2.20524350905962,0.0274370115666611,0.56869893174859,1.56166319364996,"UP"
"BID",782.357358650486,1.05770615839006,0.480057815517391,2.20328911268759,0.0275743778474409,0.56869893174859,1.55949427763561,"UP"
"PTGIR",209.860210253508,1.78103361979484,0.808368368349304,2.20324506688916,0.027577480463604,0.56869893174859,1.55944541440155,"UP"
"TMSB4X",27512.2685364527,1.02573462682019,0.465612263026077,2.20298026549774,0.0275961396021268,0.56869893174859,1.55915166673023,"UP"
"C3orf20",8.98076561409503,1.97879305317026,0.898469991220836,2.20240305464347,0.0276368503062286,0.56869893174859,1.55851145379311,"UP"
"CCR12P",39.0271821552774,1.38046492490742,0.626846609856373,2.20223720317115,0.0276485573924625,0.56869893174859,1.55832752377475,"UP"
"IL16",675.495084656763,1.26041175315567,0.572385773274431,2.20203193721129,0.027663052581806,0.56869893174859,1.55809989775218,"UP"
"CASS4",57.5676587930061,1.55553762032405,0.707018139287556,2.20013820563575,0.0277970909402678,0.570054659029434,1.55600065209257,"UP"
"RNF157-AS1",20.9620018425551,1.6799087562372,0.764276385543668,2.19803828564217,0.0279463777451578,0.57092141825089,1.5536744749774,"UP"
"PGGHG",2107.97771744272,1.57029660139738,0.714697037170703,2.1971500086439,0.0280097345542578,0.57092141825089,1.55269100692678,"UP"
"MIR3945HG",106.209212108856,1.88829594568279,0.86050539031325,2.19440339007684,0.0282064224159828,0.572387146947095,1.54965199443758,"UP"
"GNG8",12.7382162721916,2.04050908979136,0.930738951355286,2.19235381394546,0.0283539688235809,0.572913732527868,1.54738614250149,"UP"
"THBD",930.345368829668,1.15230436463777,0.525645567281597,2.19216985048874,0.028367244583572,0.572913732527868,1.54718284680077,"UP"
"PBX4",106.355881492347,1.36718657593711,0.624607543963288,2.18887297976258,0.0286060734762488,0.575863453190517,1.54354175018589,"UP"
"TRIM73",23.6864165379765,1.22145533656614,0.558552196513154,2.18682397847731,0.0287553762975888,0.577620131647681,1.54128094477997,"UP"
"CBLN1",65.7274398236808,1.26828006858662,0.580824480497046,2.18358576673848,0.0289927003823045,0.579539925150052,1.53771133254025,"UP"
"LAMP3",434.516513549026,1.84943805703536,0.850173934619342,2.17536433631481,0.029602824830088,0.583316614985258,1.52866684469836,"UP"
"RAC2",1595.23203392364,1.08164212469156,0.498548642068761,2.16958192926413,0.0300385315659379,0.589181885106823,1.52232130164116,"UP"
"SIGLEC15",82.742543494042,2.0924009059152,0.965821314231292,2.16644722484776,0.0302770285638264,0.589594799177495,1.51888674943802,"UP"
"RAB3C",14.8399433940668,2.39811782322558,1.10718460591306,2.16596022959327,0.0303142261461772,0.589594799177495,1.51835351384612,"UP"
"SH2D3C",307.011614572172,1.3375993510554,0.618708370633285,2.16192218263718,0.0306241748477438,0.589594799177495,1.51393560430576,"UP"
"TRAV1-2",11.4502217044003,2.24031498803423,1.03662019601897,2.16117243001625,0.0306820222569518,0.589594799177495,1.51311601936153,"UP"
"AC117503.4",8.6433846055623,1.91913305969225,0.888669599770923,2.1595574555346,0.0308069449558983,0.590093616456266,1.51135136739485,"UP"
"ANKRD33B",171.950004074584,1.33685365808039,0.620116277156813,2.15581126850881,0.0310984052226859,0.592507367594765,1.5072618817367,"UP"
"CDHR3",39.5868419470243,1.2133212058754,0.56321773551214,2.15426668830326,0.0312192636636314,0.593197866000491,1.50557734440598,"UP"
"EVA1C",42.891914795421,1.03863518895248,0.482599100168846,2.15216975868604,0.0313839865229733,0.594507846433658,1.50329189137481,"UP"
"BCAP29",62.7183788106992,1.27031870975867,0.590753599586533,2.15033596180838,0.0315286497710398,0.595647185990051,1.50129462771524,"UP"
"VCAN",4152.05953795411,1.39240424426205,0.647694112096927,2.14978678709013,0.0315720838071092,0.595647185990051,1.50069675304402,"UP"
"BMP2",369.710752949978,1.69288016222554,0.787769628597311,2.1489533243873,0.0316381001207201,0.596288524643653,1.49978960393103,"UP"
"ICAM3",74.5963747017348,1.32881471506291,0.618700483158287,2.14775121603219,0.0317335243367757,0.596889467576495,1.4984816923176,"UP"
"SNHG12",505.344103201441,1.10497100782879,0.51474413649023,2.14664127184237,0.0318218515270906,0.596889467576495,1.49727455490298,"UP"
"TCF7",1335.78464330435,1.29998616029361,0.605641074135303,2.14646300558404,0.0318360572353793,0.596889467576495,1.49708072318769,"UP"
"NRGN",39.5534843782207,1.44373941904244,0.672754547391341,2.14601212974428,0.0318720109652793,0.596889467576495,1.49659053384125,"UP"
"OSM",447.671159927185,1.59994417948625,0.7459665759575,2.14479338760267,0.0319693701374857,0.596889467576495,1.49526592014086,"UP"
"LINC00659",13.9900402992624,2.22098176555155,1.03578745474241,2.14424470520729,0.032013284765714,0.596889467576495,1.49466976220593,"UP"
"CD3D",339.310309600856,1.48482414325936,0.692873708817252,2.1429939170213,0.0321135868210447,0.596889467576495,1.49331118463621,"UP"
"PNPLA7",81.2956761907078,1.09321334046493,0.5103167091917,2.14222525105339,0.0321753604973561,0.597345351765971,1.49247657849862,"UP"
"CLEC4F",7.12407356416878,4.32464155926004,2.02165374586455,2.13916036220665,0.0324226831538508,0.60014193141934,1.48915104776346,"UP"
"FGF22",10.0178405712657,2.31729439670279,1.08550135069558,2.13476878238603,0.0327799014365827,0.603505362735143,1.48439235661093,"UP"
"LCK",973.406124418929,1.34480694699751,0.630003165526896,2.13460347595681,0.0327934132870753,0.603505362735143,1.48421337764008,"UP"
